Date,Close
3/20/2017,59
3/21/2017,57.09
3/22/2017,56.91
3/23/2017,57.6
3/24/2017,57.44
3/27/2017,57.49
3/28/2017,57.62
3/29/2017,57.57
3/30/2017,57.11
3/31/2017,57.24
4/3/2017,56.89
4/4/2017,56.78
4/5/2017,56.77
4/6/2017,56.59
4/7/2017,56.41
4/10/2017,56.5
4/11/2017,56.64
4/12/2017,57.03
4/13/2017,56.14
4/17/2017,56.59
4/18/2017,57.19
4/19/2017,57.28
4/20/2017,57.5
4/21/2017,57.35
4/24/2017,57.98
4/25/2017,57.59
4/26/2017,57.4
4/27/2017,57.11
4/28/2017,57.54
5/1/2017,56.86
5/2/2017,56.91
5/3/2017,56.81
5/4/2017,57.24
5/5/2017,57.4
5/8/2017,57.85
5/9/2017,57.17
5/10/2017,57.5
5/11/2017,57.64
5/12/2017,57.22
5/15/2017,57.49
5/16/2017,57.11
5/17/2017,57.41
5/18/2017,56.94
5/19/2017,55.78
5/22/2017,57.49
5/23/2017,58.12
5/24/2017,58.38
5/25/2017,58.83
5/26/2017,58.96
5/30/2017,57.88
5/31/2017,57.65
6/1/2017,57.96
6/2/2017,57.73
6/5/2017,57.48
6/6/2017,57.57
6/7/2017,57.35
6/8/2017,56.66
6/9/2017,56.54
6/12/2017,56.89
6/13/2017,56.97
6/14/2017,56.99
6/15/2017,56.96
6/16/2017,55.05
6/19/2017,54.82
6/20/2017,54.67
6/21/2017,54.1
6/22/2017,53.95
6/23/2017,53.58
6/26/2017,53.79
6/27/2017,52.88
6/28/2017,52.89
6/29/2017,51.99
6/30/2017,52.15
7/3/2017,52.19
7/5/2017,52
7/6/2017,51.68
7/7/2017,51.58
7/10/2017,50.96
7/11/2017,51.11
7/12/2017,51.39
7/13/2017,51.35
7/14/2017,51.73
7/17/2017,51.79
7/18/2017,50.99
7/19/2017,52.57
7/20/2017,51.92
7/21/2017,52
7/24/2017,52.01
7/25/2017,52.53
7/26/2017,52.61
7/27/2017,53.07
7/28/2017,52.85
7/31/2017,52.83
8/1/2017,52.52
8/2/2017,52.71
8/3/2017,53.01
8/4/2017,53.18
8/7/2017,53.24
8/8/2017,53.25
8/9/2017,53.21
8/10/2017,53.25
8/11/2017,53.61
8/14/2017,53.85
8/15/2017,53.73
8/16/2017,53.99
8/17/2017,53.96
8/18/2017,53.69
8/21/2017,53.82
8/22/2017,54
8/23/2017,54.19
8/24/2017,52.48
8/25/2017,51.4
8/28/2017,50.74
8/29/2017,50.81
8/30/2017,50.25
8/31/2017,46.2
9/1/2017,45.4
9/5/2017,46.67
9/6/2017,47.53
9/7/2017,47.39
9/8/2017,47.92
9/11/2017,47.73
9/12/2017,47.38
9/13/2017,47.69
9/14/2017,47.75
9/15/2017,48.73
9/18/2017,48.07
9/19/2017,47.32
9/20/2017,46.51
9/21/2017,45.66
9/22/2017,45.13
9/25/2017,46.58
9/26/2017,46.67
9/27/2017,47.05
9/28/2017,47.05
9/29/2017,46.82
10/2/2017,46.86
10/3/2017,46.19
10/4/2017,46.56
10/5/2017,46.59
10/6/2017,46.48
10/9/2017,45.51
10/10/2017,46.24
10/11/2017,45.74
10/12/2017,45.99
10/13/2017,46.18
10/16/2017,46.65
10/17/2017,46.14
10/18/2017,45.64
10/19/2017,45.37
10/20/2017,45.97
10/23/2017,46.45
10/24/2017,46.13
10/25/2017,46.21
10/26/2017,47.52
10/27/2017,48.13
10/30/2017,46.36
10/31/2017,47.37
11/1/2017,47.53
11/2/2017,46.85
11/3/2017,46.48
